"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"521","Ombud","Coop Smålandsstenar","SMÅLANDSSTENAR","Jönköpings län",6340023,1355423,57.1634782367181,13.4154628837128
"522","Ombud","ICA Nära Danielssons Burseryd","BURSERYD","Jönköpings län",6344764,1347673,57.2035048142876,13.2846008751112
"523","Ombud","Matglädjen Tempo","REFTELE","Jönköpings län",6340859,1366191,57.1742427555505,13.5928450123828
"524","Ombud","Ica Supermarket Vaggeryd","VAGGERYD","Jönköpings län",6376049.516,1400692.259,57.498860576648,14.1487996657583
"525","Ombud","Coop Nära Visingsö","VISINGSÖ","Jönköpings län",6436679.013,1413369.992,58.0456605249336,14.3382597220635
"526","Ombud","Konsum Unnaryd","UNNARYD","Hallands län",6316514,1361597,56.9544424725832,13.5303699625237
"527","Ombud","Coop Konsum Forserum","FORSERUM","Jönköpings län",6397939.94,1420685.392,57.6993005558587,14.4749996823797
"528","Ombud","ICA Nära Malmbäck","MALMBÄCK","Jönköpings län",6384284,1419570,57.5765207458073,14.460841202088
"529","Ombud","ICA Nära i Bredaryd","BREDARYD","Jönköpings län",6340533,1374969,57.1737917819359,13.7380311407251
"530","Ombud","Ica Nära Landsbro","LANDSBRO","Jönköpings län",6360754,1445521,57.3691418800549,14.8997751808119
"531","Ombud","Ica Nära Mathörnan","MARIANNELUND","Jönköpings län",6387911.78,1485947.874,57.6160375381431,15.570084733855
"532","Ombud","ICA Nära Hjältevad","HJÄLTEVAD","Jönköpings län",6389476,1472409,57.6294559905466,15.3433764198261
"533","Ombud","Coop Nära Älghult","ÄLGHULT","Kronobergs län",6320298,1485950,57.0089118609608,15.5739807575095
"534","Ombud","ICA Nära Alstermo","ALSTERMO","Kronobergs län",6316569,1490536,56.9755433961253,15.649600966952
"535","Ombud","Coop Konsum i Kosta","KOSTA","Kronobergs län",6301948,1475008,56.8436703389698,15.3957066891072
"536","Ombud","ICA Nära Ryd","RYD","Kronobergs län",6260358,1431447,56.4658626565926,14.693072055693
"537","Ombud","Handlarn Rävemåla","ÄLMEBODA","Kronobergs län",6269801,1466872,56.5544846874465,15.2665417346456
"538","Ombud","Handlarn Linneryd","LINNERYD","Kronobergs län",6281608.877,1459057.016,56.6599005359036,15.1375995645355
"539","Ombud","ICA Grytan Moheda","MOHEDA","Kronobergs län",6320312,1425264,57.0032011089268,14.5753161238941
"540","Ombud","ICA Nära Dackehallen","VISLANDA","Kronobergs län",6296405,1417231,56.7872073100247,14.4509541644639
"541","Ombud","ICA Nära Ströbergs","VÄXJÖ","Kronobergs län",6285546,1426460,56.6912613276389,14.6050348821614
"542","Ombud","Tommy´s","LÖNASHULT","Kronobergs län",6281006,1420697,56.649558866544,14.5124046203598
"543","Ombud","Handelsboden Häradsbäck","HÄRADSBÄCK","Kronobergs län",6267783,1416705,56.530150634492,14.4515994428884
"544","Ombud","ICA Nära Liatorp","LIATORP","Kronobergs län",6283054,1405323,56.6650877299019,14.2611137667233
"545","Ombud","Coop Nära Traryd","TRARYD","Kronobergs län",6274202,1373465,56.578117111717,13.7461962242926
"546","Ombud","Ica Nära Strömsnäsbruk","STRÖMSNÄSBRUK","Kronobergs län",6271008,1372469,56.5491828776517,13.7315708444411
"547","Ombud","Braås Järnhandel AB","BRAÅS","Kronobergs län",6326148.889,1454639.117,57.059430553261,15.0576195995117
"548","Ombud","ICA Supermarket Ingelstad","INGELSTAD","Kronobergs län",6291417,1445814,56.7466229681921,14.9196094368755
"549","Ombud","Kalvsviks Lanthandel","KALVSVIK","Kronobergs län",6290006,1433097,56.7323031799593,14.7121679442605
"550","Ombud","ICA Supermarket Lammhult","LAMMHULT","Kronobergs län",6338854,1426104,57.169800459153,14.583670632782
"551","Ombud","Matöppet i Agunnaryd","AGUNNARYD","Kronobergs län",6292397,1398577,56.7475419526423,14.147454330208
"552","Ombud","Ica Nära Ryssby","RYSSBY","Kronobergs län",6305364,1399964,56.8642390539176,14.1650349419673
"553","Ombud","ICA Nära Lidhult","LIDHULT","Kronobergs län",6302533,1355516,56.8271430851347,13.4384663480662
"554","Ombud","Bylyckan","GRÖNSKÅRA","Kalmar län",6327904,1495385,57.0774038457736,15.7291273609838
"555","Ombud","ICA Nära Skansen","MÖRBYLÅNGA","Kalmar län",6266593,1535755,56.5254936713566,16.3862113711469
"556","Ombud","Ica Nära Grönhögen","DEGERHAMN","Kalmar län",6237983,1536892,56.2684815913937,16.4006684256581
"557","Ombud","Ica Nära Södra Möckleby","DEGERHAMN","Kalmar län",6247819,1537993,56.3567255364756,16.4198514724553
"558","Ombud","Ica Nära Krysset","VIRSERUM","Kalmar län",6375699.889,1399955.477,57.4955605823466,14.1366596659452
"559","Ombud","Ica Nära Mörlunda","MÖRLUNDA","Kalmar län",6354864,1503395,57.3195043497286,15.8615652292903
"560","Ombud","Ica Nära Fliseryd","FLISERYD","Kalmar län",6333608,1527845,57.1278090886569,16.2649862164034
"561","Ombud","Allans Livs","VASSMOLÖSA","Kalmar län",6274035,1521377,56.5931957727437,16.153205270289
"562","Ombud","ICA Nära Påryd","PÅRYD","Kalmar län",6271332,1507243,56.5693504969127,15.9230631769239
"563","Ombud","Coop nära Alsterbro","ALSTERBRO","Kalmar län",6312786,1506624,56.9416240741969,15.9140545161205
"564","Ombud","Handelsboden i Målerås","MÅLERÅS","Kalmar län",6309912,1485665,56.9156386295686,15.5698813136713
"565","Ombud","Coop Konsum Figeholm","FIGEHOLM","Kalmar län",6361018,1544806,57.3725795196867,16.5499567901738
"566","Ombud","Konsum Kristdala","KRISTDALA","Kalmar län",6363950,1523642,57.4004922166933,16.198474885023
"567","Ombud","Coop Konsum Överum","ÖVERUM","Kalmar län",6429451,1530094,57.9882131901423,16.3139521909084
"568","Ombud","Ica Nära Kusten","LOFTAHAMMAR","Kalmar län",6420613,1552923,57.9067457871572,16.69787569342
